ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
teiwa-264_sky-1,,teiwa,264_sky,bulan,bulan,b u l a n,,Robinson2012,,,^ b u l a n $,default
abui-264_sky-1,,abui,264_sky,ahalingtama,ahalingtama,a h a l i ŋ t a m a,,Robinson2012,,,^ a h a l i ng t a m a $,default
blagar-264_sky-1,,blagar,264_sky,bulaŋ,bulaŋ,b u l a ŋ,,Robinson2012,,,^ b u l a ŋ $,default
kamang-264_sky-1,,kamang,264_sky,deling,deling,d e l i ŋ,,Robinson2012,,,^ d e l i ng $,default
wersing-264_sky-1,,wersing,264_sky,ayakeng,ayakeng,a j a k e ŋ,,Robinson2012,,,^ a y a k e ng $,default
kaera-264_sky-1,,kaera,264_sky,bulung,bulung,b u l u ŋ,,Robinson2012,,,^ b u l u ng $,default
westernpantar-264_sky-1,,westernpantar,264_sky,gunnang,gunnang,g u n n a ŋ,,Robinson2012,,,^ g u n n a ng $,default
kui-264_sky-1,,kui,264_sky,langin,langin,l a ŋ i n,,Robinson2012,,,^ l a ng i n $,default
adang-264_sky-1,,adang,264_sky,la:b,la:b,l aː b,,Robinson2012,,,^ l a: b $,default
sawila-264_sky-1,,sawila,264_sky,ayaakani,ayaakani,a j a a k a n i,,Robinson2012,,,^ a y a a k a n i $,default
nedebang-264_sky-1,,nedebang,264_sky,hundus,hundus,h u n d u s,,Robinson2012,,,^ h u n d u s $,default
klon-264_sky-1,,klon,264_sky,buləgɛn,buləgɛn,b u l ə g ɛ n,,Robinson2012,,,^ b u l ə g ɛ n $,default
teiwa-287_sun-1,,teiwa,287_sun,war get,war get,w a r + g e t,,Robinson2012,,,^ w a r + g e t $,default
abui-287_sun-1,,abui,287_sun,wari,wari,w a r i,,Robinson2012,,,^ w a r i $,default
protoalorpantar-287_sun-1,,protoalorpantar,287_sun,wad-i,wad-i,w a d i,,Robinson2012,,,^ w a d - i $,default
blagar-287_sun-1,,blagar,287_sun,ved,ved,v e d,,Robinson2012,,,^ v e d $,default
kamang-287_sun-1,,kamang,287_sun,wati,wati,w a t i,,Robinson2012,,,^ w a t i $,default
wersing-287_sun-1,,wersing,287_sun,widí,widí,w i d i,,Robinson2012,,,^ w i d í $,default
kaera-287_sun-1,,kaera,287_sun,kuwer,kuwer,k u w e r,,Robinson2012,,,^ k u w e r $,default
westernpantar-287_sun-1,,westernpantar,287_sun,was,was,w a s,,Robinson2012,,,^ w a s $,default
kui-287_sun-1,,kui,287_sun,ber,ber,b e r,,Robinson2012,,,^ b e r $,default
adang-287_sun-1,,adang,287_sun,fεd,fεd,f ɛ d,,Robinson2012,,,^ f ε d $,default
sawila-287_sun-1,,sawila,287_sun,wadi,wadi,w a d i,,Robinson2012,,,^ w a d i $,default
nedebang-287_sun-1,,nedebang,287_sun,weri,weri,w e r i,,Robinson2012,,,^ w e r i $,default
klon-287_sun-1,,klon,287_sun,mədi,mədi,m ə d i,,Robinson2012,,,^ m ə d i $,default
teiwa-278_star-1,,teiwa,278_star,yif,yif,j i f,,Robinson2012,,,^ y i f $,default
abui-278_star-1,,abui,278_star,fir/fɪr,fir,f i r,,Robinson2012,,,^ f i r $,default
abui-278_star-2,,abui,278_star,fir/fɪr,fɪr,f ɪ r,,Robinson2012,,,^ f ɪ r $,default
blagar-278_star-1,,blagar,278_star,iid,iid,i i d,,Robinson2012,,,^ i i d $,default
kamang-278_star-1,,kamang,278_star,atoibaai,atoibaai,a t o i b a a i,,Robinson2012,,,^ a t o i b a a i $,default
wersing-278_star-1,,wersing,278_star,apíkal,apíkal,a p i k a l,,Robinson2012,,,^ a p í k a l $,default
kaera-278_star-1,,kaera,278_star,ipalaq,ipalaq,i p a l a q,,Robinson2012,,,^ i p a l a q $,default
westernpantar-278_star-1,,westernpantar,278_star,hibbe,hibbe,h i b b e,,Robinson2012,,,^ h i b b e $,default
kui-278_star-1,,kui,278_star,i bra,i bra,i + b r a,,Robinson2012,,,^ i + b r a $,default
adang-278_star-1,,adang,278_star,i:b,i:b,iː b,,Robinson2012,,,^ i: b $,default
sawila-278_star-1,,sawila,278_star,lawaala,lawaala,l a w a a l a,,Robinson2012,,,^ l a w a a l a $,default
nedebang-278_star-1,,nedebang,278_star,ifahoya,ifahoya,i f a h o j a,,Robinson2012,,,^ i f a h o y a $,default
klon-278_star-1,,klon,278_star,ɪb,ɪb,ɪ b,,Robinson2012,,,^ ɪ b $,default
